,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,
28800,48.88834031,40.84272934,41.91861157,48.888081,40.84239129,41.91836022,48.88866941,40.84302175,41.9188482,48.88866941,40.84302175,41.9188482,48.88813897,40.84220068,41.91826687,48.91668775,40.87201415,41.97226679,48.91753806,40.8730876,41.97360128,48.91822792,40.87389861,41.97382375,48.91783965,40.87349164,41.97309938,48.88900561,40.8433256,41.91848571,48.88852311,40.84281801,41.91756234,48.87258834,40.82652876,41.90193172,48.87257721,40.82649942,41.90209496,48.87274635,40.82666672,41.90225703,48.87245992,40.82641022,41.90235235,48.88930282,40.8436976,41.91951327,48.88966105,40.84405019,41.919849,48.88992954,40.84438152,41.92011776,48.81587498,40.7667892,41.77850562,48.88946371,40.84387185,41.91933169,48.88957284,40.84398462,41.91950556
29700,48.92364229,40.87826691,41.95654997,48.92337374,40.87791978,41.9562901,48.92398163,40.8785697,41.95679655,48.92398163,40.8785697,41.95679655,48.92343958,40.87773717,41.95620421,48.95269304,40.9082587,42.01092233,48.95356457,40.90935338,42.0122776,48.95426979,40.91017923,42.01251392,48.95387136,40.90976201,42.01177854,48.92432155,40.87887677,41.95643463,48.9238268,40.87835688,41.95549905,48.90749344,40.86166974,41.93947562,48.90748185,40.86164005,41.93963892,48.90765359,40.86180995,41.9398035,48.90736157,40.86154798,41.93989456,48.92462942,40.87925963,41.95747521,48.92499589,40.87962043,41.9578189,48.92527235,40.87995973,41.9580954,48.84935204,40.80049629,41.81458644,48.92479484,40.87943838,41.95729786,48.92490543,40.87955262,41.95747309
30600,48.95858376,40.9134307,41.99405092,48.95830596,40.91307448,41.99378248,48.95893332,40.91374386,41.99430744,48.95893332,40.91374386,41.99430744,48.95837967,40.91289989,41.99370406,48.98833307,40.94412468,42.04913599,48.98922571,40.94524047,42.05051194,48.98994633,40.94608123,42.05076226,48.98953782,40.94565383,42.050016,48.95927706,40.91405426,41.99394639,48.95877015,40.91352217,41.99299869,48.94204044,40.89643991,41.97658385,48.94202836,40.89640982,41.97674716,48.94220272,40.89658231,41.97691426,48.94190505,40.89631485,41.97700092,48.95959546,40.91444786,41.99499971,48.95997017,40.91481686,41.99535136,48.96025455,40.91516407,41.99563558,48.88247899,40.83384146,41.85023929,48.95976541,40.91463111,41.99482663,48.95987746,40.9147468,41.99500321
31500,48.99317337,40.94823017,42.03112508,48.99288631,40.94786485,42.03084802,48.99353328,40.94855373,42.03139169,48.99353328,40.94855373,42.03139169,48.99296807,40.94769833,42.03077728,49.02361668,40.97962154,42.0869186,49.02453031,40.98075832,42.08831513,49.02526635,40.98161402,42.08857957,49.02484785,40.98117654,42.08782257,48.99388081,40.94886754,42.03103167,48.99336181,40.94832333,42.03007193,48.97623722,40.93084856,42.01326642,48.9762246,40.93081803,42.01342965,48.97640157,40.93099311,42.01359927,48.97609823,40.93072011,42.01368142,48.99420964,40.94927173,42.03209749,48.99459257,40.94964892,42.03245711,48.99488483,40.95000401,42.03274902,48.91526521,40.86683455,41.88547561,48.99438412,40.9494595,42.0319287,48.99449761,40.94957663,42.03210664
32400,48.85653949,40.8050317,41.89502574,48.85628313,40.80469163,41.89477703,48.85687272,40.8053248,41.89526069,48.85687272,40.8053248,41.89526069,48.85634215,40.80446246,41.89467301,48.88382978,40.8332148,41.94790149,48.88466711,40.8343114,41.94926291,48.88536918,40.83513942,41.9494645,48.88498992,40.83474056,41.94872271,48.85722002,40.8056341,41.89485203,48.85674881,40.8051368,41.8939073,48.84126853,40.78943837,41.87869841,48.8412518,40.78940203,41.87886702,48.84141773,40.78956604,41.87902665,48.84112926,40.78931074,41.87914628,48.85750036,40.80599477,41.89592282,48.85785664,40.806344,41.89625602,48.85812205,40.80668289,41.89652364,48.78684969,40.73191481,41.75698475,48.857666,40.80618093,41.89572287,48.85777434,40.80629316,41.89590243
33300,48.85682064,40.80624778,41.89977616,48.85655638,40.8058999,41.89952027,48.85716334,40.80655017,41.90001996,48.85716334,40.80655017,41.90001996,48.856621,40.80567572,41.899421,48.88465951,40.83498268,41.95321164,48.88551731,40.83610028,41.95459508,48.88623525,40.83694386,41.95480869,48.88584632,40.83653513,41.95405442,48.85751514,40.80686345,41.8996083,48.85703231,40.80635435,41.89865002,48.84123328,40.79034308,41.88313156,48.8412162,40.79030654,41.88330126,48.84138404,40.79047243,41.88346272,48.84109058,40.79021244,41.88358087,48.85780516,40.80723432,41.90069545,48.85816924,40.80759129,41.90103606,48.85844271,40.80793837,41.90131144,48.7857053,40.73169513,41.760282,48.8579759,40.80742551,41.90049871,48.85808575,40.80753926,41.9006798
34200,48.85622758,40.80653629,41.90352062,48.85595535,40.80618056,41.90325746,48.8565798,40.80684804,41.90377334,48.8565798,40.80684804,41.90377334,48.85602564,40.80596147,41.90316306,48.88461889,40.83582668,41.95751827,48.8854974,40.83696549,41.95892385,48.88623141,40.83782485,41.95914985,48.88583271,40.83740615,41.95838315,48.85693613,40.80716534,41.90335905,48.85644164,40.80664441,41.90238732,48.8403254,40.79032141,41.88656037,48.84030795,40.79028464,41.88673109,48.84047771,40.79045243,41.88689437,48.84017928,40.79018775,41.88701088,48.85723585,40.80754641,41.90446227,48.85760778,40.80791117,41.90481034,48.85788933,40.80826644,41.90509351,48.78368303,40.73054497,41.76257281,48.8574117,40.80774265,41.90426884,48.85752306,40.80785793,41.90445147
35100,48.85479391,40.80593154,41.90629196,48.85451404,40.80556829,41.90602182,48.85515527,40.80625226,41.90655326,48.85515527,40.80625226,41.90655326,48.85458985,40.80535419,41.90593217,48.88372481,40.83576381,41.96083863,48.88462391,40.83692364,41.96226614,48.8853739,40.83779869,41.96250461,48.88496549,40.83737008,41.96172567,48.85551591,40.80657337,41.9061365,48.85501033,40.80604121,41.90515193,48.8385844,40.78941381,41.8890232,48.83856653,40.78937676,41.88919482,48.8387385,40.78954673,41.8893602,48.83843437,40.78927661,41.88947424,48.8558249,40.80696417,41.90725504,48.85620436,40.80733638,41.90761027,48.85649362,40.80769946,41.90790092,48.77985531,40.72750492,41.76299439,48.85600562,40.8071652,41.90706481,48.85611843,40.80728194,41.90724889
36000,48.85920787,40.8136744,41.94850127,48.85891084,40.81329407,41.94821419,48.85959287,40.81401857,41.94878572,48.85959287,40.81401857,41.94878572,48.85900228,40.8131016,41.94814041,48.88931587,40.84470495,42.00385715,48.89025649,40.84590096,42.00532013,48.89103552,40.84680592,42.00559339,48.89060709,40.84635695,42.00479825,48.85996153,40.81434928,41.94838634,48.85942963,40.81379037,41.9473807,48.84229543,40.7964201,41.93052242,48.84227756,40.7963832,41.9306926,48.84245331,40.7965571,41.93086192,48.84213891,40.79627615,41.93096158,48.86029238,40.81476196,41.94951738,48.86068944,40.81515226,41.94989016,48.86099665,40.81553175,41.9501984,48.78190353,40.73286944,41.80376887,48.86048453,40.81497299,41.94934214,48.86060067,40.81509309,41.94952835
36900,48.85849882,40.81375114,41.95213263,48.85819425,40.81336341,41.95183859,48.8588941,40.81410547,41.95242689,48.8588941,40.81410547,41.95242689,48.85829325,40.8131781,41.95177164,48.88911363,40.84528837,42.00799951,48.89007313,40.84650352,42.00948242,48.89086599,40.84742196,42.00976682,48.89042848,40.84696377,42.00896037,48.8592662,40.81443912,41.95202501,48.85872364,40.81386947,41.95100736,48.84127813,40.79619317,41.93384409,48.84126,40.79615615,41.93401508,48.84143754,40.79633181,41.93418612,48.8411184,40.79604638,41.93428373,48.85960589,40.81486103,41.95317027,48.86001035,40.81525865,41.95355019,48.86032482,40.81564545,41.95386553,48.77977482,40.73152156,41.80597537,48.85980266,40.8150766,41.9529984,48.85992013,40.81519804,41.95318594
37800,48.85701297,40.81299834,41.95483987,48.85669947,40.81260176,41.95453753,48.85742031,40.81336468,41.95514563,48.85742031,40.81336468,41.95514563,48.85680743,40.8124251,41.95447877,48.88813657,40.84504391,42.01121868,48.88911473,40.84627795,42.01272122,48.88992132,40.84720976,42.01301679,48.88947481,40.84674245,42.01219924,48.8577963,40.81370177,41.95474199,48.85724129,40.81311951,41.95371075,48.83938184,40.79503029,41.93614583,48.83936334,40.79499304,41.93631747,48.83954364,40.79517144,41.93649112,48.83921735,40.79487903,41.9365843,48.8581463,40.8141344,41.95590256,48.85855926,40.81454047,41.95629063,48.85888198,40.8149356,41.956614,48.77606951,40.72851634,41.80651131,48.85834837,40.81435521,41.95573476,48.85846735,40.81447818,41.95592379
38700,48.85426745,40.81091491,41.95617186,48.8539399,40.81050419,41.95585642,48.8546939,40.81130059,41.95649576,48.8546939,40.81130059,41.95649576,48.85406203,40.81034166,41.95581078,48.8862886,40.84387194,42.0134268,48.88729588,40.84513566,42.01495872,48.88812344,40.84608837,42.01527239,48.88766303,40.84560686,42.01443925,48.85507564,40.81164305,41.95609232,48.85450092,40.8110407,41.95504075,48.83609701,40.79240255,41.93695132,48.83607802,40.79236492,41.93712347,48.83626161,40.79254662,41.93730024,48.83592696,40.79224596,41.93738774,48.85544244,40.81209312,41.95727409,48.8558691,40.81251305,41.95767522,48.85620522,40.81292182,41.95801145,48.77113782,40.72421698,41.80570329,48.85565292,40.8123224,41.95711336,48.85577436,40.81244786,41.95730475
39600,48.79599918,40.74562492,41.8791062,48.79561906,40.74515945,41.87874807,48.79645252,40.74603876,41.87945182,48.79645252,40.74603876,41.87945182,48.79573935,40.74496991,41.87869558,48.83056384,40.78111247,41.93865415,48.83168957,40.78252111,41.9403099,48.83263618,40.78359443,41.94070062,48.83212564,40.78306167,41.93980844,48.79686789,40.74641031,41.87903342,48.79623399,40.74574767,41.87791174,48.77642875,40.7257707,41.85873389,48.7763993,40.72572214,41.85890475,48.77659727,40.72591778,41.85909287,48.7762449,40.72560031,41.85918339,48.79729861,40.74692659,41.88031073,48.79776413,40.7473852,41.88074398,48.7981328,40.74783572,41.88110981,48.70648361,40.65252267,41.72286541,48.79752244,40.74717708,41.88014822,48.79765192,40.7473108,41.8803506
40500,48.77646,40.72643958,41.86244639,48.77606743,40.7259616,41.86207609,48.77692331,40.72686314,41.86280194,48.77692331,40.72686314,41.86280194,48.77619268,40.72577664,41.86202798,48.81164992,40.76255513,41.92266575,48.81280384,40.76399229,41.92435381,48.81377482,40.76509002,41.92476422,48.81325162,40.76454435,41.92385538,48.77734523,40.7272408,41.86238193,48.77669616,40.72656275,41.86124114,48.75656494,40.70626053,41.84172108,48.75653412,40.7062107,41.84189271,48.75673542,40.70640966,41.84208414,48.75637736,40.70608683,41.84217278,48.77779087,40.72777267,41.86368241,48.77826653,40.72824138,41.86412583,48.77864432,40.72870099,41.86450096,48.68533736,40.63172227,41.70447227,48.7780192,40.72802739,41.86352183,48.77815056,40.72816301,41.86372622
41400,48.75679191,40.70710387,41.84547934,48.75638701,40.70661352,41.84509696,48.75726557,40.70753755,41.84584514,48.75726557,40.70753755,41.84584514,48.75651794,40.70643388,41.84505389,48.79260148,40.74384147,41.90636202,48.79378312,40.74530664,41.9080816,48.79477764,40.74642794,41.90851141,48.79424193,40.74586953,41.90758641,48.75769379,40.70792111,41.84542415,48.7570297,40.70722781,41.84426473,48.73657397,40.6866018,41.82440459,48.73654185,40.68655076,41.82457686,48.73674644,40.68675302,41.82477157,48.73638255,40.68642469,41.82485787,48.75815399,40.70846815,41.84674664,48.75863973,40.70894691,41.84720019,48.75902661,40.70941557,41.84758456,48.66407652,40.61078675,41.68579256,48.75838687,40.70872716,41.84658826,48.75852007,40.70886464,41.84679463
42300,48.73701604,40.68764028,41.82823462,48.73659895,40.6871377,41.82784026,48.73750038,40.68808442,41.82861096,48.73750038,40.68808442,41.82861096,48.73673615,40.68696401,41.82780279,48.77344033,40.72499468,41.88977343,48.77464925,40.72648741,41.89152382,48.77566661,40.72763155,41.8919728,48.77511854,40.72706057,41.89103214,48.73793475,40.68847376,41.82818964,48.73725579,40.68776537,41.82701202,48.71647679,40.66681682,41.80681368,48.71644343,40.66676462,41.80698646,48.71665129,40.66697014,41.80718441,48.71628144,40.66663615,41.80726791,48.73840915,40.68903554,41.82953303,48.73890492,40.68952431,41.82999668,48.73930086,40.690002,41.83039026,48.64272069,40.58973694,41.66685388,48.73864662,40.68929892,41.82937711,48.73878164,40.68943823,41.82958544
43200,48.74275237,40.69788603,41.8870061,48.74233553,40.69738421,41.8866097,48.74324402,40.69833675,41.88739127,48.74324402,40.69833675,41.88739127,48.74248369,40.69723016,41.88658447,48.77917372,40.73521444,41.94808053,48.78038003,40.73669477,41.94982267,48.78139171,40.73783341,41.95028418,48.78084513,40.73726452,41.94935315,48.74368097,40.6987308,41.88700368,48.74300279,40.69802384,41.88583418,48.72215522,40.67698616,41.86546251,48.72212204,40.67693415,41.86562948,48.72232971,40.6771395,41.86582797,48.72195649,40.6768016,41.86589573,48.74414858,40.69928437,41.88831362,48.74464532,40.69977405,41.88878024,48.74504154,40.70024893,41.88917553,48.64850196,40.60011018,41.72693321,48.74438757,40.69954656,41.88816744,48.74452282,40.69968605,41.88837603
44100,48.72799559,40.68357149,41.87545352,48.72756635,40.68305721,41.87504522,48.7284997,40.68403456,41.87585065,48.7284997,40.68403456,41.87585065,48.72772322,40.68291167,41.87502789,48.76503849,40.72152389,41.93715,48.76627193,40.72303166,41.93892102,48.7673061,40.72419282,41.93940189,48.76674719,40.72361138,41.93845585,48.72894321,40.68443483,41.87546302,48.7282502,40.68371283,41.87427665,48.70704652,40.66231945,41.85355076,48.70701204,40.66226621,41.85371801,48.70722298,40.66247485,41.85391969,48.70684308,40.66213051,41.85398379,48.72942402,40.68500212,41.87679241,48.72993116,40.6855022,41.87726918,48.7303366,40.68598629,41.87767352,48.63216626,40.58421051,41.71379281,48.72966804,40.68526915,41.87664952,48.72980517,40.68541054,41.8768599
45000,48.71291834,40.66890665,41.86342895,48.712477,40.66838024,41.86300899,48.71343488,40.66938206,41.86383804,48.71343488,40.66938206,41.86383804,48.71264285,40.66824347,41.86299985,48.75056809,40.70746765,41.92573457,48.75182788,40.70900202,41.9275337,48.75288348,40.71018459,41.92803286,48.75231258,40.70959098,41.92707253,48.71388456,40.66978814,41.86345058,48.71317705,40.66905147,41.86224778,48.69162638,40.64731171,41.84117591,48.69159069,40.64725734,41.84134342,48.69180483,40.64746918,41.84154821,48.69141831,40.64711845,41.84160847,48.71437824,40.67036879,41.86479858,48.71489558,40.67087906,41.86528532,48.71531006,40.67137219,41.86569857,48.61553632,40.56798758,41.70018172,48.71462724,40.67064063,41.86465905,48.71476615,40.67078381,41.86487108
45900,48.6975711,40.65394429,41.85098045,48.69711785,40.65340593,41.85054884,48.69810011,40.65443208,41.85140173,48.69810011,40.65443208,41.85140173,48.6972929,40.6532782,41.85054822,48.73581721,40.69310296,41.91388948,48.73710268,40.69466323,41.91571595,48.73817896,40.69586644,41.91623295,48.73759631,40.6952609,41.91525874,48.69855567,40.6548437,41.85101471,48.69783384,40.65409255,41.84979549,48.67594056,40.63201062,41.82837328,48.67590374,40.63195521,41.82854106,48.67612105,40.63217022,41.82874902,48.67572793,40.63181309,41.82880515,48.69906201,40.65543747,41.85238088,48.69958941,40.6559578,41.85287762,48.70001285,40.65645987,41.85329982,48.59865509,40.55148636,41.68614406,48.69931597,40.6557141,41.85224482,48.69945662,40.65585902,41.85245851
46800,48.71544442,40.67858191,41.88901051,48.71500184,40.67805674,41.88858472,48.71596873,40.67906564,41.88943143,48.71596873,40.67906564,41.88943143,48.71517851,40.67795076,41.88859057,48.75336226,40.71742811,41.9517172,48.75462965,40.71895122,41.95351982,48.7556827,40.72012755,41.95403711,48.75510707,40.71952939,41.95307511,48.71641665,40.67947134,41.88906432,48.71570621,40.67873215,41.887864,48.69418362,40.65698336,41.86662679,48.69415039,40.65693246,41.86679345,48.69436436,40.65714428,41.86699959,48.69397658,40.65679163,41.86704802,48.71691239,40.68005266,41.89040036,48.71743234,40.68056575,41.89089376,48.7178489,40.6810548,41.89131175,48.61793271,40.57756125,41.72524272,48.71716281,40.68032067,41.89027193,48.71730171,40.68046371,41.89048136
47700,48.71469487,40.67862807,41.89154477,48.71424561,40.67809632,41.89111227,48.7152298,40.67912237,41.89197611,48.7152298,40.67912237,41.89197611,48.71443271,40.67800038,41.89112794,48.75300056,40.71785976,41.95465187,48.75428169,40.71939685,41.95646866,48.75534355,40.72058161,41.95699526,48.75476108,40.71997661,41.95602582,48.71567958,40.67952954,41.89160983,48.71496093,40.67878216,41.89040115,48.69324938,40.65685357,41.86896565,48.69321588,40.6568025,41.86913209,48.69343159,40.65701604,41.86934002,48.69303949,40.65665926,41.86938457,48.71618189,40.68011765,41.89295389,48.71670799,40.6806368,41.89345352,48.71712961,40.68113092,41.8938767,48.61623594,40.57666632,41.72679375,48.71643537,40.68038865,41.89282862,48.71657523,40.68053263,41.89303897
48600,48.71311011,40.67778745,41.8931542,48.71265293,40.67724786,41.89271387,48.71365742,40.67829416,41.89359763,48.71365742,40.67829416,41.89359763,48.71285226,40.67716388,41.89274109,48.7518004,40.71740084,41.95665653,48.75309492,40.71895148,41.95848707,48.75416546,40.72014456,41.95902282,48.75357636,40.71953292,41.95804615,48.71410932,40.67870308,41.89323243,48.7133811,40.67794612,41.89201416,48.69143083,40.65578578,41.87033517,48.69139695,40.65573442,41.87050131,48.69161513,40.65595043,41.87071169,48.69121696,40.65558772,41.87075074,48.71461925,40.67929904,41.89458541,48.71515238,40.67982515,41.89509208,48.71557976,40.68032506,41.89552108,48.6128557,40.57400851,41.72664001,48.71487624,40.67957348,41.89446371,48.71501718,40.67971854,41.89467511
49500,48.70994319,40.67528593,41.89314303,48.70947144,40.6747316,41.89268871,48.71051353,40.67581608,41.89360847,48.71051353,40.67581608,41.89360847,48.70969314,40.67467017,41.89273698,48.74945792,40.7157361,41.95744743,48.7507789,40.71731377,41.95930384,48.75186626,40.7185236,41.95985624,48.75126416,40.71789874,41.95886642,48.71096932,40.6762286,41.89324583,48.71022333,40.67545357,41.89201033,48.68788544,40.65290657,41.86995067,48.68785089,40.65285461,41.87011626,48.6880728,40.6530744,41.87033026,48.68766538,40.65270245,41.87036094,48.71149366,40.67683942,41.89461417,48.71204017,40.67737908,41.89513377,48.71247864,40.67789025,41.8955735,48.60770334,40.56949543,41.72469319,48.71175739,40.67712064,41.894499,48.71190039,40.67726778,41.89471235
50400,48.76177231,40.74036948,42.01073326,48.76128763,40.73980695,42.01026134,48.76240236,40.74096234,42.01126063,48.76240236,40.74096234,42.01126063,48.76158649,40.73985593,42.01039063,48.80243473,40.78204028,42.07576885,48.80377547,40.7836084,42.07761874,48.80484926,40.78480006,42.07820222,48.80423198,40.78416003,42.07721741,48.76284873,40.74136957,42.01094672,48.76208722,40.74057919,42.00972173,48.73948167,40.71767402,41.9871884,48.73945192,40.71762874,41.98734718,48.73967706,40.71785231,41.98756594,48.73925186,40.71745985,41.98755175,48.76337879,40.74198258,42.0122712,48.76394342,40.7425418,42.01281251,48.76439281,40.74305482,42.01326492,48.65710834,40.63207366,41.84092952,48.76365408,40.7422688,42.01219115,48.7637978,40.74241652,42.01239971
51300,48.7700773,40.74957393,42.0237982,48.76958759,40.74900662,42.02332126,48.7707169,40.75017645,42.0243357,48.7707169,40.75017645,42.0243357,48.76989694,40.74906592,42.02346164,48.81106245,40.79155908,42.08914539,48.81241225,40.7931362,42.09100305,48.81349143,40.79433271,42.09159323,48.81286938,40.79368806,42.09060398,48.77116434,40.75058446,42.02402303,48.77039724,40.74978871,42.0227937,48.74763135,40.72673635,42.00009994,48.74760137,40.72669095,42.00025804,48.74782786,40.72691583,42.00047817,48.74739845,40.72651924,42.00045923,48.77169837,40.75120134,42.0253512,48.77226789,40.75176533,42.02589752,48.77272118,40.75228225,42.02635388,48.66459734,40.64048442,41.85321054,48.77197669,40.75149065,42.02527524,48.77212099,40.75163892,42.02548419
52200,48.77771178,40.75805641,42.03601667,48.77721691,40.7574842,42.03553461,48.77836111,40.7586688,42.03656448,48.77836111,40.7586688,42.03656448,48.77753691,40.75755402,42.03568623,48.81902772,40.80036419,42.10168292,48.82038682,40.80195052,42.10354858,48.82147159,40.8031521,42.10414563,48.82084467,40.80250272,42.10315189,48.77880971,40.75907769,42.03625323,48.77803687,40.75827641,42.0350194,48.75510737,40.73507289,42.01216228,48.75507715,40.73502734,42.01231969,48.75530503,40.73525357,42.01254122,48.7548713,40.73485273,42.01251741,48.7793478,40.75969851,42.03758506,48.77992231,40.76026739,42.03813648,48.78037962,40.7607883,42.0385969,48.67139576,40.64815271,41.86462654,48.77962922,40.75999099,42.03751325,48.77977412,40.76013981,42.03772261
53100,48.78467167,40.76581256,42.04738874,48.78417151,40.76523529,42.04690141,48.78533092,40.766435,42.04794701,48.78533092,40.766435,42.04794701,48.78450228,40.76531582,42.04706441,48.82632703,40.80845189,42.11338219,48.82769572,40.81004768,42.11525612,48.82878631,40.81125459,42.11586023,48.82815441,40.81060036,42.11486193,48.78578078,40.76684489,42.04763735,48.78500204,40.76603792,42.04639889,48.761905,40.74267854,42.02337481,48.76187452,40.74263283,42.0235315,48.76210381,40.74286043,42.02375445,48.76166566,40.74245524,42.02372566,48.78632303,40.76746975,42.04897285,48.78690266,40.76804365,42.04952949,48.78736412,40.76856867,42.04999407,48.67749568,40.65507022,41.875174,48.78660766,40.76776547,42.04890527,48.78675317,40.76791489,42.04911507
54000,48.06427212,39.8678439,41.51996225,48.06359691,39.86700416,41.51933328,48.0649751,39.86851016,41.5205576,48.0649751,39.86851016,41.5205576,48.06406238,39.867267,41.51961536,48.11274324,39.9173929,41.58951782,48.11436216,39.91925399,41.59165452,48.11544063,39.92048712,41.59212318,48.11460746,39.91962428,41.59084403,48.06514629,39.86862315,41.51969134,48.06417244,39.86761541,41.51821848,48.03779648,39.84119426,41.49335428,48.0377935,39.8411558,41.49358288,48.03805535,39.84141534,41.49382857,48.03770359,39.84110473,41.49401321,48.06612242,39.86973792,41.52168481,48.06676242,39.87037192,41.52228112,48.06726745,39.87094366,41.52277223,47.93930395,39.73892074,41.33881604,48.06629508,39.86988139,41.52145153,48.06645608,39.87004668,41.52167187
54900,48.00813468,39.81165437,41.47407396,48.00744966,39.81080412,41.47343296,48.0088459,39.81232914,41.4746793,48.0088459,39.81232914,41.4746793,48.00792467,39.81107759,41.47372741,48.05712508,39.86172459,41.5441279,48.0587587,39.86359963,41.54628226,48.0598474,39.8648438,41.54676144,48.05900598,39.863973,41.54547203,48.00901412,39.81243977,41.47380591,48.00803156,39.81142372,41.47232189,47.98140038,39.7847399,41.44716419,47.98139714,39.78470084,41.44739314,47.98166104,39.78496248,41.44764133,47.98130644,39.78464852,41.44782347,48.01000421,39.81356808,41.47581931,48.01065024,39.81420821,41.47642277,48.01116051,39.8147851,41.47691989,47.88183647,39.68139665,41.29168004,48.01017811,39.81371281,41.47558642,48.01033962,39.81387854,41.47580724
55800,47.95206188,39.75551244,41.42756519,47.95136717,39.75465186,41.42691256,47.95278122,39.75619556,41.42818014,47.95278122,39.75619556,41.42818014,47.95185155,39.75493574,41.42721885,48.0015644,39.80609696,41.49809882,48.00321288,39.8079861,41.5002714,48.00431153,39.80924101,41.50076001,48.00346181,39.80836223,41.49946006,47.95294585,39.7563033,41.42729716,47.95195423,39.75527859,41.4258008,47.92507098,39.72833532,41.40036129,47.92506768,39.72829585,41.40059136,47.9253336,39.72855956,41.40084194,47.92497674,39.72824281,41.40102372,47.9539504,39.75744557,41.42933255,47.95460239,39.75809176,41.42994291,47.95511784,39.75867374,41.43044587,47.8243349,39.62382395,41.24359964,47.95412513,39.75759118,41.42909871,47.95428729,39.75775749,41.42932037
56700,47.8960365,39.69940378,41.38035596,47.89533147,39.6985323,41.37968966,47.89676451,39.70009576,41.3809823,47.89676451,39.70009576,41.3809823,47.89582603,39.69882731,41.38001041,47.94608976,39.7505401,41.45149635,47.94775126,39.75244156,41.45368136,47.94886232,39.75370957,41.45418693,47.94800585,39.75282436,41.45288104,47.89693764,39.70021237,41.38012802,47.89594188,39.69918379,41.37863498,47.86878232,39.67195797,41.35283601,47.86877574,39.67191498,41.3530569,47.86904383,39.67218091,41.35331038,47.86867656,39.6718534,41.35346632,47.89794524,39.70135748,41.38214921,47.89860356,39.70201007,41.38276769,47.89912447,39.70259741,41.38327736,47.76680475,39.56620924,41.19457514,47.89812545,39.70150851,41.38192929,47.89828766,39.70167482,41.38214983
